,product_id,category,product_title,brand,model,features,price,rating,review_count,image_url,main_name,Is_accessory
0,B08N5W4NNB,Laptops,"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey",Apple,MacBook Air,"Brand Apple, Model Name MacBook Air, Screen Size 13 Inches, Colour Space Grey, Hard Disk Size 256 GB, CPU Model Core M Family, RAM Memory Installed Size 8 GB, Operating System macOS 10.14 Mojave, Special Feature Portable, Graphics Card Description Integrated",63990,4.6,6,https://m.media-amazon.com/images/I/71jG+e7roXL._AC_UY218_.jpg,Apple MacBook Air Laptop,0.0
1,B0B3C9ZHJZ,Laptops,"Apple MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display, 8GB RAM, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone/iPad; Space Grey",Apple,MacBook Air,"Brand Apple, Model Name MacBook Air, Screen Size 13.6, Colour Space Grey, Hard Disk Size 512 GB, CPU Model Others, RAM Memory Installed Size 8 GB, Operating System Mac OS, Special Feature Portable, Backlit Keyboard, Thin, Graphics Card Description Integrated",77990,4.5,35,https://m.media-amazon.com/images/I/71f5Eu5lJSL._AC_UY218_.jpg,Apple MacBook Air Laptop with M2 chip,0.0
2,B0CX24HFL7,Laptops,"Apple 2024 MacBook Air 15 Laptop with M3 chip: 38.91 cm (15.3) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Space Grey",Apple,MacBook Air,"Brand Apple, Model Name MacBook Air, Screen Size 15.3 Inches, Colour Space Grey, CPU Model Unknown, RAM Memory Installed Size 8 GB, Operating System Mac OS, Special Feature Portable, Thin, Graphics Card Description Integrated, Graphics Coprocessor Apple Integrated Graphics",144990,4.4,53,https://m.media-amazon.com/images/I/71zbUS9KpQL._AC_UY218_.jpg,Apple 2024 MacBook Air 15 Laptop with M3 chip,0.0
3,B0DLHXVCXJ,Laptops,"Apple 2024 MacBook Pro Laptop with M4 chip with 10core CPU and 10core GPU: Built for Apple Intelligence, (14.2) Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage; Space Black",Apple,MacBook Pro,"Brand Apple, Model Name MacBook Pro, Screen Size 14 Inches, Colour Space Black, CPU Model Apple M4, RAM Memory Installed Size 16 GB, Operating System Mac OS, Graphics Card Description Integrated, CPU Speed 0.01 GHz, Hard Disk Description SSD",162990,5.0,7,https://m.media-amazon.com/images/I/61eA9PkZ07L._AC_UY218_.jpg,Apple 2024 MacBook Pro Laptop with M4 chip with 10core CPU and 10core GPU,0.0
4,B0DLHQC28P,Laptops,"Apple 2024 MacBook Pro Laptop with M4 Pro chip with 12core CPU and 16core GPU: Built for Apple Intelligence, (14.2) Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Space Black",Apple,MacBook Pro,"Brand Apple, Model Name MacBook Pro, Screen Size 14 Inches, Colour Space Black, CPU Model Apple M4, RAM Memory Installed Size 24 GB, Operating System Mac OS, Graphics Card Description Integrated, CPU Speed 0.01 GHz, Hard Disk Description SSD",191990,5.0,5,https://m.media-amazon.com/images/I/61eA9PkZ07L._AC_UY218_.jpg,Apple 2024 MacBook Pro Laptop with M4 Pro chip with 12core CPU and 16core GPU,0.0
5,B0DLHTDZVL,Laptops,"Apple 2024 MacBook Pro Laptop with M4 Pro chip with 14core CPU and 20core GPU: Built for Apple Intelligence, (16.2) Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Space Black",Apple,MacBook Pro,"Brand Apple, Model Name MacBook Pro, Screen Size 16 Inches, Colour Space Black, CPU Model Apple M4, RAM Memory Installed Size 24 GB, Operating System Mac OS, Graphics Card Description Integrated, CPU Speed 0.01 GHz, Hard Disk Description SSD",239990,2.4,4,https://m.media-amazon.com/images/I/61opqQEBUxL._AC_UY218_.jpg,Apple 2024 MacBook Pro Laptop with M4 Pro chip with 14core CPU and 20core GPU,0.0
6,B0DLHDZ7FL,Laptops,"Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8core CPU and 8core GPU, 16GB Unified Memory, 256GB) - Space Gray",Apple,MacBook Air,"Brand Apple, Model Name MacBook Air, Screen Size 13.6 Inches, Colour Space Gray, CPU Model Apple M3, RAM Memory Installed Size 16 GB, Operating System Mac OS, Graphics Card Description Integrated, CPU Speed 0.01 GHz, Hard Disk Description SSD",105990,5.0,5,https://m.media-amazon.com/images/I/71Vo2dXqhLL._AC_UY218_.jpg,Apple 2024 MacBook Air (13,0.0
7,B0CM5S7HF6,Laptops,"Apple 2023 MacBook Pro (16-inch, Apple M3 Max chip with 14core CPU and 30core GPU, 36GB Unified Memory, 1TB) - Space Black",Apple,MacBook Pro,"Brand Apple, Model Name MacBook Pro, Screen Size 16 Inches, Colour Space Black, Hard Disk Size 1 TB, CPU Model Apple M2 Ultra, RAM Memory Installed Size 36 GB, Operating System Mac OS, Special Feature Backlit Keyboard, Graphics Card Description Integrated",319900,3.8,10,https://m.media-amazon.com/images/I/711xdPNfEhL._AC_UY218_.jpg,Apple 2023 MacBook Pro (16,0.0
8,B0DLHDMN75,Laptops,"Apple 2024 MacBook Air 15 Laptop with M3 chip: 38.91 cm (15.3) Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Space Grey",Apple,MacBook Air,"Brand Apple, Model Name MacBook Air, Screen Size 15.3 Inches, Colour Space Gray, CPU Model Apple M3, RAM Memory Installed Size 16 GB, Operating System Mac OS, Graphics Card Description Integrated, CPU Speed 0.01 GHz, Hard Disk Description SSD",127990,5.0,2,https://m.media-amazon.com/images/I/71x9JI-Il0L._AC_UY218_.jpg,Apple 2024 MacBook Air 15 Laptop with M3 chip,0.0
9,B0DLHYCZMV,Laptops,"Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8core CPU and 8core GPU, 16GB Unified Memory, 256GB) - Midnight",Apple,MacBook Air,"Brand Apple, Model Name MacBook Air, Screen Size 13.6 Inches, Colour Midnight, CPU Model Apple M3, RAM Memory Installed Size 16 GB, Operating System Mac OS, Graphics Card Description Integrated, CPU Speed 0.01 GHz, Hard Disk Description SSD",109990,4.6,6,https://m.media-amazon.com/images/I/618d5bS2lUL._AC_UY218_.jpg,Apple 2024 MacBook Air (13,0.0
10,B0CM5R9RJK,Laptops,"Apple 2023 MacBook Pro (16-inch, Apple M3 Max chip with 14core CPU and 30core GPU, 36GB Unified Memory, 1TB) - Silver",Apple,MacBook Pro,"Brand Apple, Model Name MacBook Pro, Screen Size 16 Inches, Colour Silver, Hard Disk Size 1 TB, CPU Model Apple M2 Ultra, RAM Memory Installed Size 36 GB, Operating System Mac OS, Special Feature Backlit Keyboard, Graphics Card Description Integrated",319900,4.3,4,https://m.media-amazon.com/images/I/61S+iQmF5NL._AC_UY218_.jpg,Apple 2023 MacBook Pro (16,0.0
11,B0DLHFY1C7,Laptops,"Apple 2024 MacBook Pro Laptop with M4 Pro chip with 12core CPU and 16core GPU: Built for Apple Intelligence, (14.2) Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Silver",Apple,MacBook Pro,"Brand Apple, Model Name MacBook Pro, Screen Size 14 Inches, Colour Silver, CPU Model Apple M4, RAM Memory Installed Size 24 GB, Operating System Mac OS, Graphics Card Description Integrated, CPU Speed 0.01 GHz, Hard Disk Description SSD",191990,4.4,4,https://m.media-amazon.com/images/I/61eA9PkZ07L._AC_UY218_.jpg,Apple 2024 MacBook Pro Laptop with M4 Pro chip with 12core CPU and 16core GPU,0.0
12,B0DLHGCB3C,Laptops,"Apple 2024 MacBook Pro Laptop with M4 Max chip with 14core CPU and 32core GPU: Built for Apple Intelligence, (14.2) Liquid Retina XDR Display, 36GB Unified Memory, 1TB SSD Storage; Space Black",Apple,MacBook Pro,"Brand Apple, Model Name MacBook Pro, Screen Size 14 Inches, Colour Space Black, CPU Model Apple M4, RAM Memory Installed Size 36 GB, Operating System Mac OS, Graphics Card Description Integrated, CPU Speed 0.01 GHz, Hard Disk Description SSD",309990,3.0,3,https://m.media-amazon.com/images/I/71x9JI-Il0L._AC_UY218_.jpg,Apple 2024 MacBook Pro Laptop with M4 Max chip with 14core CPU and 32core GPU,0.0
13,B0DLHFS9L6,Laptops,"Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8core CPU and 10core GPU, 24GB Unified Memory, 512GB) - Midnight",Apple,MacBook Air,"Brand Apple, Model Name MacBook Air, Screen Size 13.6 Inches, Colour Midnight, CPU Model Apple M3, RAM Memory Installed Size 24 GB, Operating System Mac OS, Graphics Card Description Integrated, CPU Speed 0.01 GHz, Hard Disk Description SSD",147990,4.7,4,https://m.media-amazon.com/images/I/61S+iQmF5NL._AC_UY218_.jpg,Apple 2024 MacBook Air (13,0.0
14,B0DLHGCDH3,Laptops,"Apple 2024 MacBook Pro Laptop with M4 chip with 10core CPU and 10core GPU: Built for Apple Intelligence, 35.97 cm (14.2) Liquid Retina XDR Display 16GB Unified Memory, 1TB SSD Storage; Space Black",Apple,MacBook Pro,"Brand Apple, Model Name MacBook Pro, Screen Size 14 Inches, Colour Space Black, CPU Model Apple M4, RAM Memory Installed Size 16 GB, Operating System Mac OS, Graphics Card Description Integrated, CPU Speed 0.01 GHz, Hard Disk Description SSD",182990,5.0,1,https://m.media-amazon.com/images/I/61eA9PkZ07L._AC_UY218_.jpg,Apple 2024 MacBook Pro Laptop with M4 chip with 10core CPU and 10core GPU,0.0
15,B0DLJ82ZMT,Laptops,"Apple 2024 MacBook Pro Laptop with M4 chip with 10core CPU and 10core GPU: Built for Apple Intelligence, (14.2) Liquid Retina XDR Display, 14GB Unified Memory, 1TB SSD Storage; Space Black",Apple,MacBook Pro,"Brand Apple, Model Name MacBook Pro, Screen Size 14 Inches, Colour Space Black, CPU Model Apple M4, RAM Memory Installed Size 24 GB, Operating System Mac OS, Graphics Card Description Integrated, CPU Speed 0.01 GHz, Hard Disk Description SSD",201990,5.0,1,https://m.media-amazon.com/images/I/613+7m34z2L._AC_UY218_.jpg,Apple 2024 MacBook Pro Laptop with M4 chip with 10core CPU and 10core GPU,0.0
16,B0DLJ7SJRK,Laptops,"Apple 2024 MacBook Pro Laptop with M4 Pro chip with 14core CPU and 20core GPU: Built for Apple Intelligence, (16.2) Liquid Retina XDR Display, 48GB Unified Memory, 512GB SSD Storage; Silver",Apple,MacBook Pro,"Brand Apple, Model Name MacBook Pro, Screen Size 16 Inches, Colour Silver, CPU Model Apple M4, RAM Memory Installed Size 48 GB, Operating System Mac OS, Graphics Card Description Integrated, CPU Speed 0.01 GHz, Hard Disk Description SSD",279990,3.1,2,https://m.media-amazon.com/images/I/61S+iQmF5NL._AC_UY218_.jpg,Apple 2024 MacBook Pro Laptop with M4 Pro chip with 14core CPU and 20core GPU,0.0
17,B0DLHGKDXH,Laptops,"Apple 2024 MacBook Pro Laptop with M4 chip with 10core CPU and 10core GPU: Built for Apple Intelligence, 35.97 cm (14.2) Liquid Retina XDR Display, 16GB Unified Memory, 1TB SSD Storage; Silver",Apple,MacBook Pro,"Brand Apple, Model Name MacBook Pro, Screen Size 14 Inches, Colour Silver, CPU Model Apple M4, RAM Memory Installed Size 16 GB, Operating System Mac OS, Graphics Card Description Integrated, CPU Speed 0.01 GHz, Hard Disk Description SSD",182990,5.0,1,https://m.media-amazon.com/images/I/61S+iQmF5NL._AC_UY218_.jpg,Apple 2024 MacBook Pro Laptop with M4 chip with 10core CPU and 10core GPU,0.0
18,B0DLHG1PK6,Laptops,"Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8core CPU and 8core GPU, 16GB Unified Memory, 256GB) - Starlight",Apple,MacBook Air,"Brand Apple, Model Name MacBook Air, Screen Size 13.6 Inches, Colour Starlight, CPU Model Apple M3, RAM Memory Installed Size 16 GB, Operating System Mac OS, Graphics Card Description Integrated, CPU Speed 0.01 GHz, Hard Disk Description SSD",109990,4.5,2,https://m.media-amazon.com/images/I/71XltS5fMAL._AC_UY218_.jpg,Apple 2024 MacBook Air (13,0.0
19,B0DLHY232V,Laptops,"Apple 2024 MacBook Air 15 Laptop with M3 chip: 38.91 cm (15.3) Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Silver",Apple,MacBook Air,"Brand Apple, Model Name MacBook Air, Screen Size 15.3 Inches, Colour Silver, CPU Model Apple M3, RAM Memory Installed Size 16 GB, Operating System Mac OS, Graphics Card Description Integrated, CPU Speed 0.01 GHz, Hard Disk Description SSD",127990,5.0,1,https://m.media-amazon.com/images/I/71wKmwQQgLL._AC_UY218_.jpg,Apple 2024 MacBook Air 15 Laptop with M3 chip,0.0
20,B0DLHH4BJ9,Laptops,"Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8core CPU and 10core GPU, 24GB Unified Memory, 512GB) - Space Gray",Apple,MacBook Air,"Brand Apple, Model Name MacBook Air, Screen Size 13.6 Inches, Colour Space Gray, CPU Model Apple M3, RAM Memory Installed Size 24 GB, Operating System Mac OS, Graphics Card Description Integrated, CPU Speed 0.01 GHz, Hard Disk Description SSD",147990,4.1,6,https://m.media-amazon.com/images/I/711xdPNfEhL._AC_UY218_.jpg,Apple 2024 MacBook Air (13,0.0
